0,0,-nan,0,-nan
1,1,0,1,0
2,1.41655,0.00405363,1.41921,0.00142813
3,1.73499,0.00573301,1.73781,0.00164949
4,2.00574,0.00707154,1.99749,0.0017701
5,2.24442,0.00810593,2.23327,0.00181481
6,2.45022,0.00903894,2.44567,0.00184794
7,2.64371,0.00988361,2.64749,0.0018666
8,2.83425,0.0107414,2.8344,0.00189483
9,3.00606,0.0114131,3.00815,0.00189702
10,3.17049,0.0122215,3.17975,0.00192178
11,3.32635,0.0127885,3.33129,0.00191945
12,3.48454,0.0134861,3.4804,0.00193744
13,3.6282,0.0141013,3.62212,0.00194655
14,3.76189,0.0147238,3.7598,0.00195806
15,3.89048,0.0152113,3.88963,0.00195536
16,4.02393,0.0156892,4.02267,0.0019501
17,4.14193,0.016071,4.15042,0.00193607
18,4.25972,0.0165309,4.27637,0.00193282
19,4.36935,0.0169454,4.40072,0.0019253
20,4.47573,0.0175235,4.50037,0.0019469
21,4.58522,0.0180008,4.60498,0.00195449
22,4.70272,0.0184664,4.71184,0.00195957
23,4.81456,0.0189213,4.81369,0.00196536
24,4.92173,0.0194003,4.9266,0.00196893
25,5.01817,0.0198412,5.04111,0.00196794
26,5.12064,0.020229,5.13382,0.00197017
27,5.20698,0.0206566,5.22555,0.0019765
28,5.2946,0.0211752,5.32165,0.00198954
29,5.37092,0.0216137,5.40957,0.00199773
30,5.46584,0.0220263,5.50794,0.00199951
31,5.56904,0.0223873,5.59625,0.00200021
32,5.64455,0.0227116,5.68218,0.00199849
33,5.72054,0.0228801,5.76253,0.00198525
34,5.80917,0.0232542,5.84631,0.0019888
35,5.90239,0.0235845,5.93035,0.00198846
36,5.97719,0.0239421,6.00905,0.00199217
37,6.065,0.0243237,6.08135,0.00199986
38,6.1524,0.024694,6.17619,0.00199913
39,6.23699,0.0250509,6.26819,0.00199826
40,6.31367,0.0254523,6.34329,0.00200624
41,6.37751,0.0256532,6.41818,0.00199848
42,6.47032,0.0260766,6.49019,0.00200893
43,6.55149,0.0265073,6.56547,0.00201869
44,6.63271,0.0268284,6.63581,0.00202149
45,6.7082,0.0270016,6.71686,0.00200999
46,6.77637,0.0273043,6.78049,0.00201345
47,6.86137,0.0277536,6.85741,0.00202362
48,6.94043,0.0281501,6.92065,0.00203377
49,7.02084,0.0285391,6.99248,0.0020407
50,7.09336,0.0288135,7.0678,0.00203836
51,7.15605,0.0290766,7.128,0.00203961
52,7.22486,0.0293447,7.19585,0.002039
53,7.29311,0.0296873,7.26466,0.00204327
54,7.37334,0.0300128,7.3329,0.00204645
55,7.43055,0.030275,7.40563,0.00204405
56,7.50668,0.0306369,7.47443,0.00204944
57,7.5783,0.0309142,7.54691,0.00204813
58,7.65018,0.0310468,7.61545,0.00203841
59,7.71502,0.0312551,7.67111,0.00203719
60,7.787,0.031625,7.73917,0.00204317
61,7.85159,0.0317636,7.8054,0.00203472
62,7.91289,0.0320868,7.87163,0.00203813
63,7.97532,0.0324277,7.9391,0.00204228
64,8.03784,0.0325332,8.0039,0.00203234
65,8.0972,0.0327856,8.05781,0.0020344
66,8.16364,0.0329715,8.11777,0.00203082
67,8.2235,0.0332271,8.18393,0.00203002
68,8.28145,0.0335038,8.25009,0.00203051
69,8.33095,0.0337525,8.30561,0.00203191
70,8.39363,0.0339358,8.36137,0.00202932
71,8.46033,0.0342066,8.41503,0.00203247
72,8.52068,0.0344496,8.47517,0.00203239
73,8.57788,0.0347065,8.53761,0.00203256
74,8.63853,0.0347807,8.59748,0.00202273
75,8.69479,0.0350872,8.65867,0.00202613
76,8.7518,0.035283,8.71091,0.00202522
77,8.80711,0.0354951,8.7687,0.00202397
78,8.86432,0.0357278,8.82261,0.00202479
79,8.92398,0.0360398,8.87414,0.00203061
80,8.98244,0.036286,8.93281,0.00203105
81,9.04289,0.0364223,8.98321,0.00202724
82,9.10016,0.0366664,9.03881,0.00202828
83,9.15119,0.0370075,9.09334,0.00203487
84,9.20776,0.0373676,9.156,0.0020406
85,9.25421,0.0376067,9.21594,0.00204031
86,9.30031,0.0377893,9.27271,0.00203766
87,9.35969,0.0380226,9.33523,0.00203651
88,9.41401,0.0383562,9.39384,0.00204156
89,9.4716,0.0385031,9.45416,0.0020363
90,9.52668,0.0387768,9.502,0.00204046
91,9.58231,0.0390978,9.5579,0.00204531
92,9.63532,0.0392039,9.60428,0.00204096
93,9.69461,0.0394524,9.65416,0.00204328
94,9.73757,0.0396956,9.69949,0.00204627
95,9.79314,0.0399767,9.76047,0.00204789
96,9.8501,0.040144,9.81579,0.00204487
97,9.90581,0.0404051,9.86603,0.00204769
98,9.94865,0.0405056,9.92347,0.0020409
99,9.99235,0.040705,9.97282,0.0020408
100,10.0419,0.0409437,10.0183,0.00204345
