#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.96193     1.96193           0
           2     1.97119     1.96656  0.00327285
           3      1.9981     1.97707  0.00885737
           4     2.00564     1.98422  0.00907569
           5     1.95992     1.97936   0.0084619
           6     1.95159     1.97473  0.00822018
           7     1.97512     1.97478  0.00704606
           8     1.98143     1.97561  0.00621404
           9       1.917      1.9691  0.00825922
          10       1.923     1.96449  0.00862462
          11     1.90403     1.95899  0.00943094
          12     1.93992     1.95741  0.00877794
          13     1.95362     1.95711  0.00810755
          14     1.99955     1.96014  0.00807515
          15     1.99373     1.96238  0.00784108
          16     1.96125     1.96231  0.00735134
          17     2.05955     1.96803  0.00886934
          18     2.02712     1.97132  0.00896347
          19     1.98089     1.97182  0.00850585
          20     2.00067     1.97326  0.00820199
