# VELOCITY:     AVE_POFV:        ERROR:
    0.133333       0.018           0
         0.4       1.613           0
    0.666667        7.29           0
    0.933333       8.095           0
         1.2      14.413           0
     1.46667       13.05           0
     1.73333      16.027           0
           2      12.163           0
     2.26667      11.183           0
     2.53333        7.17           0
         2.8       8.169           0
     3.06667        3.23           0
     3.33333       2.587           0
         3.6       2.243           0
     3.86667       0.749           0
     4.13333           0           0
         4.4           0           0
     4.66667           0           0
     4.93333           0           0
         5.2           0           0
     5.46667           0           0
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333       0.021  0.00212132
         0.4       1.678   0.0459619
    0.666667      6.6975    0.418961
    0.933333       8.986    0.630032
         1.2      13.554    0.607405
     1.46667      13.366    0.223446
     1.73333     15.7295    0.210364
           2     11.5625    0.424618
     2.26667     11.7005    0.365928
     2.53333      8.2835    0.787363
         2.8      7.5715    0.422496
     3.06667       3.625    0.279307
     3.33333       2.852    0.187383
         3.6       1.729    0.363453
     3.86667       0.644   0.0742462
     4.13333           0           0
         4.4           0           0
     4.66667           0           0
     4.93333           0           0
         5.2           0           0
     5.46667           0           0
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333    0.133667   0.0920028
         0.4       2.039    0.296344
    0.666667     6.71933    0.279876
    0.933333     9.88767    0.847597
         1.2     12.2967     1.10358
     1.46667     12.7953     0.48918
     1.73333     15.6617    0.150783
           2     11.2257    0.394679
     2.26667      11.462    0.312144
     2.53333       9.074    0.831939
         2.8     7.42567    0.305799
     3.06667     3.74667    0.211047
     3.33333     3.43767    0.494243
         3.6     1.66567    0.247759
     3.86667    0.429333     0.18213
     4.13333           0           0
         4.4           0           0
     4.66667           0           0
     4.93333           0           0
         5.2           0           0
     5.46667           0           0
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333     0.38975    0.232261
         0.4     2.42475    0.401249
    0.666667       5.928    0.716741
    0.933333       9.521    0.710594
         1.2      12.091    0.846636
     1.46667     12.4577    0.469123
     1.73333      15.136    0.469077
           2     11.8347    0.604862
     2.26667     12.2642    0.733151
     2.53333      9.8975    0.947593
         2.8        7.38    0.232734
     3.06667     3.29425    0.422569
     3.33333      3.5525    0.383791
         3.6      1.4925    0.238786
     3.86667       0.336     0.15872
     4.13333           0           0
         4.4           0           0
     4.66667           0           0
     4.93333           0           0
         5.2           0           0
     5.46667           0           0
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333      0.3492    0.189316
         0.4      2.4806    0.324863
    0.666667      5.9618    0.574189
    0.933333      9.2964    0.602927
         1.2     11.9528    0.688496
     1.46667     12.8856    0.535998
     1.73333     14.9248    0.420125
           2     11.8368    0.483893
     2.26667     12.6466     0.67894
     2.53333      9.8384    0.759916
         2.8       7.083    0.324396
     3.06667      3.6806     0.48342
     3.33333      3.2278    0.422626
         3.6       1.533    0.194433
     3.86667      0.3026    0.130443
     4.13333           0           0
         4.4           0           0
     4.66667           0           0
     4.93333           0           0
         5.2           0           0
     5.46667           0           0
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333    0.318167    0.160286
         0.4      2.5665    0.281847
    0.666667     5.73667     0.52076
    0.933333     9.57117    0.561568
         1.2     12.2838    0.648463
     1.46667     13.2215    0.541787
     1.73333     15.0513    0.368667
           2     11.6437    0.440102
     2.26667     12.1405    0.730451
     2.53333     9.44117    0.729738
         2.8     6.86167    0.337494
     3.06667     4.01183    0.503704
     3.33333     3.12283    0.364991
         3.6     1.49817    0.165118
     3.86667    0.431333    0.160083
     4.13333   0.0343333   0.0313419
         4.4   0.0653333   0.0596409
     4.66667           0           0
     4.93333           0           0
         5.2           0           0
     5.46667           0           0
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333    0.292286    0.139462
         0.4     2.57443    0.241695
    0.666667     5.82014    0.453007
    0.933333     9.74171     0.50658
         1.2     12.5187     0.59685
     1.46667     13.7489     0.67382
     1.73333     15.0541    0.316011
           2     11.0979    0.630597
     2.26667     11.7944     0.70332
     2.53333     9.05886    0.718692
         2.8     6.67557    0.336701
     3.06667     4.05214    0.433356
     3.33333     3.26729    0.340236
         3.6     1.58443    0.162508
     3.86667       0.486     0.14625
     4.13333    0.146571    0.107329
         4.4   0.0865714   0.0547718
     4.66667           0           0
     4.93333           0           0
         5.2           0           0
     5.46667           0           0
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333    0.298625    0.122173
         0.4      2.7185    0.250773
    0.666667     6.00225    0.431434
    0.933333     9.88963    0.464349
         1.2     12.6016    0.527971
     1.46667      13.784    0.590508
     1.73333     14.8759      0.3229
           2     11.3106     0.58657
     2.26667     11.4762    0.683598
     2.53333     8.61825    0.751882
         2.8     6.45525    0.359542
     3.06667     3.82125    0.436383
     3.33333     3.48075    0.358469
         3.6     1.73438    0.199732
     3.86667     0.59225    0.162031
     4.13333     0.13975   0.0941292
         4.4     0.20075    0.117064
     4.66667           0           0
     4.93333           0           0
         5.2           0           0
     5.46667           0           0
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333    0.271667    0.111533
         0.4     2.52678    0.286987
    0.666667     5.98367    0.383897
    0.933333     9.91733    0.413581
         1.2     12.8756    0.535677
     1.46667     14.0158    0.568567
     1.73333     15.1887    0.411521
           2     11.4561    0.539136
     2.26667      11.232    0.649814
     2.53333     8.39222    0.701491
         2.8     6.13067    0.442479
     3.06667       3.722    0.399023
     3.33333     3.49389     0.31888
         3.6     1.76778    0.180311
     3.86667    0.612111     0.14524
     4.13333    0.124222   0.0849415
         4.4    0.289556    0.133559
     4.66667           0           0
     4.93333           0           0
         5.2           0           0
     5.46667           0           0
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333      0.2695    0.100401
         0.4      2.5545    0.259624
    0.666667      6.2507    0.428429
    0.933333     10.1252    0.421233
         1.2     12.9513    0.487435
     1.46667     13.7396    0.574886
     1.73333     15.0701    0.387073
           2     11.8441    0.609034
     2.26667     10.7827     0.72368
     2.53333      8.3424    0.633109
         2.8      6.0507    0.405393
     3.06667      3.7403     0.35954
     3.33333      3.3096    0.336051
         3.6      1.7798     0.16268
     3.86667      0.6943    0.152204
     4.13333      0.1346   0.0770787
         4.4       0.332    0.126768
     4.66667      0.0286   0.0271323
     4.93333           0           0
         5.2           0           0
     5.46667           0           0
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333    0.249545   0.0932354
         0.4     2.62836    0.246305
    0.666667     6.06655     0.42723
    0.933333     10.5018    0.524966
         1.2     13.1424    0.479108
     1.46667     13.8782    0.539068
     1.73333     14.8183    0.425998
           2     11.6837    0.574394
     2.26667     10.6922    0.663528
     2.53333     8.31864    0.575999
         2.8     6.04218    0.368629
     3.06667     3.76418    0.327647
     3.33333     3.14345    0.344131
         3.6     1.83418    0.156717
     3.86667    0.695273     0.13837
     4.13333    0.122364   0.0710362
         4.4    0.367636    0.120148
     4.66667   0.0510909   0.0326842
     4.93333           0           0
         5.2           0           0
     5.46667           0           0
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333      0.2355   0.0865173
         0.4      2.6415     0.22613
    0.666667     5.97183    0.401989
    0.933333     10.3325     0.50779
         1.2     13.2093    0.443838
     1.46667     14.4499    0.737442
     1.73333     14.5956    0.444912
           2     11.4784    0.562025
     2.26667     10.6836     0.60829
     2.53333     8.33183    0.528151
         2.8     6.22925    0.382441
     3.06667     3.78858     0.30125
     3.33333       2.963    0.359668
         3.6     1.84375    0.143949
     3.86667    0.659833      0.1313
     4.13333    0.118417    0.065226
         4.4    0.420333    0.121142
     4.66667   0.0468333   0.0302365
     4.93333           0           0
         5.2           0           0
     5.46667           0           0
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333    0.218692   0.0814784
         0.4       2.601    0.212331
    0.666667     5.83985    0.392136
    0.933333     10.0545    0.539469
         1.2     13.6424    0.583917
     1.46667      14.783    0.752186
     1.73333     14.4865    0.423859
           2     11.3774    0.527795
     2.26667     10.5458    0.576898
     2.53333     8.23054    0.497142
         2.8     6.45777    0.415727
     3.06667     3.88677    0.293642
     3.33333     2.82969    0.355849
         3.6     1.77746    0.147351
     3.86667    0.624154    0.125954
     4.13333    0.110615   0.0606734
         4.4    0.479769    0.125561
     4.66667   0.0541538   0.0287832
     4.93333           0           0
         5.2           0           0
     5.46667           0           0
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333    0.209786   0.0761437
         0.4     2.58207    0.198006
    0.666667     5.76136    0.371899
    0.933333     9.86771    0.532303
         1.2     13.4211    0.582642
     1.46667     14.9989    0.728793
     1.73333     14.6629     0.42872
           2     11.5451    0.516068
     2.26667     10.4487    0.543794
     2.53333       8.429    0.499678
         2.8     6.49621    0.387806
     3.06667       3.797     0.28606
     3.33333     2.74379    0.340643
         3.6      1.7175    0.148525
     3.86667    0.605214    0.118373
     4.13333      0.1375   0.0620105
         4.4    0.525857    0.124764
     4.66667   0.0502857   0.0269859
     4.93333           0           0
         5.2           0           0
     5.46667           0           0
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333    0.200733   0.0716036
         0.4     2.68353    0.209192
    0.666667      5.6788    0.356151
    0.933333     9.61507    0.553536
         1.2     13.3476    0.548412
     1.46667     15.0369    0.681197
     1.73333     14.5903    0.406238
           2     11.8825     0.58155
     2.26667     10.2779    0.533685
     2.53333     8.76293    0.567076
         2.8     6.46213    0.363447
     3.06667     3.79813    0.266992
     3.33333     2.68007    0.323838
         3.6      1.6806    0.143134
     3.86667    0.585733    0.112073
     4.13333    0.139333   0.0579036
         4.4    0.528733     0.11648
     4.66667       0.049   0.0252175
     4.93333           0           0
         5.2           0           0
     5.46667           0           0
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333    0.188187   0.0682186
         0.4     2.86019    0.260228
    0.666667     5.72644    0.337062
    0.933333     9.28262    0.610662
         1.2     13.3843    0.515363
     1.46667     15.0736     0.63961
     1.73333      14.603    0.381047
           2     11.9815    0.553572
     2.26667     10.2561    0.500775
     2.53333     8.65981    0.540928
         2.8       6.514    0.344412
     3.06667     3.88506    0.264078
     3.33333     2.58137    0.318282
         3.6     1.65413    0.136615
     3.86667    0.603438    0.106457
     4.13333    0.196437   0.0774848
         4.4    0.503812    0.111834
     4.66667   0.0459375   0.0238266
     4.93333           0           0
         5.2           0           0
     5.46667           0           0
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333    0.182471   0.0644448
         0.4     2.96165    0.263959
    0.666667     5.69424     0.31877
    0.933333     9.02947    0.625016
         1.2     13.4551    0.489888
     1.46667     14.7322    0.687079
