#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0591525   0.0591525           0
           2   0.0575596   0.0583561 0.000563155
           3   0.0588717   0.0585279 0.000400806
           4   0.0552191   0.0577007   0.0007769
           5   0.0587139   0.0579034  0.00064741
           6   0.0577519   0.0578781     0.00054
           7    0.059014   0.0580404 0.000486629
           8   0.0590557   0.0581673 0.000442041
           9   0.0559659   0.0579227   0.0004556
          10   0.0557814   0.0577086 0.000457604
          11   0.0556977   0.0575258 0.000451043
          12   0.0570093   0.0574827 0.000415505
          13    0.057689   0.0574986 0.000383846
          14   0.0608588   0.0577386 0.000424893
          15   0.0570436   0.0576923 0.000399085
          16   0.0536286   0.0574383 0.000447723
          17   0.0587121   0.0575132 0.000427611
          18   0.0580402   0.0575425 0.000404856
          19   0.0568192   0.0575044 0.000385333
          20   0.0574131   0.0574999 0.000366094
