#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59679     1.59679           0
           2     1.59677     1.59678 6.90101e-06
           3      1.5968     1.59679  6.8701e-06
           4     1.59686     1.59681 1.70829e-05
           5     1.59686     1.59682 1.66039e-05
           6     1.59678     1.59681 1.49509e-05
           7     1.59686     1.59682 1.39889e-05
           8     1.59686     1.59682 1.30177e-05
           9     1.59685     1.59683 1.18746e-05
          10     1.59696     1.59684 1.69321e-05
          11     1.59686     1.59684  1.5452e-05
          12     1.59678     1.59684  1.5125e-05
          13     1.59673     1.59683 1.61219e-05
          14     1.59675     1.59682 1.59401e-05
          15     1.59694     1.59683 1.68565e-05
          16     1.59683     1.59683 1.58051e-05
          17     1.59662     1.59682 1.90248e-05
          18     1.59692     1.59682 1.88238e-05
          19     1.59679     1.59682 1.79358e-05
          20     1.59673     1.59682 1.76699e-05
