#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
            1      -2.1382      -2.1382            0
            2     -2.33528     -2.23674     0.069681
            3     -1.22921      -1.9009     0.278122
            4    -0.937998     -1.66017      0.29491
            5    -0.816284     -1.49139      0.28009
            6    -0.694818     -1.35863     0.262998
            7    -0.777014     -1.27554      0.23819
            8    -0.673121     -1.20024     0.219998
            9    -0.593165     -1.13279     0.205635
           10    -0.603181     -1.07983      0.19177
           11    -0.529126     -1.02976     0.180753
           12     -0.49374    -0.985095     0.171121
           13     -0.39213    -0.939482     0.163924
           14    -0.424819     -0.90272     0.156283
           15    -0.388461    -0.868436     0.149577
           16    -0.413163    -0.839982     0.142909
           17    -0.403263    -0.814292     0.136792
           18    -0.370071    -0.789614       0.1314
           19    -0.392653    -0.768721     0.126134
           20    -0.355984    -0.748084     0.121504
