#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
            1     -0.36514     -0.36514            0
            2    -0.374416    -0.369778   0.00327976
            3      -0.4013    -0.380285   0.00885356
            4    -0.408771    -0.387407   0.00906251
            5    -0.363059    -0.382537    0.0084577
            6    -0.354808    -0.377916   0.00821427
            7    -0.378265    -0.377966   0.00704096
            8    -0.384571    -0.378791   0.00620905
            9     -0.32015    -0.372276   0.00825824
           10    -0.326033    -0.367651   0.00863053
           11    -0.307171    -0.362153   0.00943616
           12    -0.343147    -0.360569   0.00878173
           13     -0.35689    -0.360286   0.00811077
           14      -0.4028    -0.363323   0.00807992
           15    -0.396786    -0.365554   0.00784318
           16    -0.364412    -0.365482   0.00735331
           17     -0.46293    -0.371215   0.00887822
           18    -0.430196    -0.374491   0.00896931
           19    -0.384099    -0.374997   0.00851148
           20    -0.403946    -0.376444   0.00820807
