#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
            1      2.48482      2.48482            0
            2      2.61741      2.55111    0.0468774
            3      1.88216      2.32813     0.184729
            4      1.68883       2.1683      0.19584
            5      1.60796      2.05623     0.185993
            6      1.52707      1.96804     0.174657
            7      1.58199      1.91289     0.158174
            8      1.51283      1.86288     0.146093
            9      1.45951      1.81806     0.136563
           10      1.46612      1.78287     0.127361
           11        1.417      1.74961     0.120047
           12      1.39358      1.71994     0.113651
           13      1.32593      1.68963     0.108875
           14       1.3477      1.66521     0.103801
           15      1.32338      1.64242     0.099351
           16      1.33991      1.62351    0.0949236
           17      1.33329      1.60644     0.090862
           18      1.31122      1.59004    0.0872818
           19      1.32634      1.57616    0.0837842
           20      1.30186      1.56244    0.0807097
