#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
            1      1.30796      1.30796            0
            2      1.31413      1.31104    0.0021819
            3      1.33207      1.31805   0.00590491
            4      1.33709      1.32281   0.00605046
            5      1.30661      1.31957   0.00564126
            6      1.30106      1.31649   0.00548012
            7      1.31675      1.31652   0.00469737
            8      1.32095      1.31708   0.00414269
            9        1.278      1.31273   0.00550615
           10        1.282      1.30966   0.00574975
           11      1.26935        1.306   0.00628729
           12      1.29328      1.30494   0.00585196
           13      1.30241      1.30474   0.00540503
           14      1.33303      1.30676   0.00538343
           15      1.32915      1.30826   0.00522739
           16       1.3075      1.30821   0.00490089
           17      1.37304      1.31202    0.0059129
           18      1.35141      1.31421   0.00597565
           19      1.32059      1.31455   0.00567057
           20      1.33378      1.31551     0.005468
