#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.201509    0.201509           0
           2    0.201454    0.201481 1.93969e-05
           3    0.193592    0.198851  0.00214713
           4    0.195429    0.197996  0.00177268
           5    0.195629    0.197522  0.00147999
           6    0.200902    0.198086  0.00133623
           7    0.194987    0.197643  0.00121645
           8    0.201587    0.198136  0.00116001
           9    0.199006    0.198233  0.00103514
          10    0.198373    0.198247 0.000931719
          11    0.195095     0.19796 0.000889997
          12    0.194756    0.197693 0.000854954
          13    0.196284    0.197585 0.000796036
          14    0.194761    0.197383 0.000764309
          15    0.199413    0.197518 0.000725241
          16    0.201199    0.197748 0.000715467
          17    0.201562    0.197973  0.00070767
          18    0.201689    0.198179 0.000697822
          19    0.197237     0.19813 0.000662853
          20    0.193016    0.197874 0.000677236
