# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 8.49799e-06 2.83253e-06
    0.884913 0.000149695 1.16081e-05
    0.910562  0.00744698 7.83869e-05
    0.936212   0.0808857 0.000246144
    0.961861    0.380268 0.000501744
    0.987511    0.969859 0.000765393
     1.01316     1.68176 0.000992916
     1.03881     2.27187  0.00114868
     1.06446      2.5756  0.00116975
     1.09011     2.62388  0.00115254
     1.11576     2.48681  0.00110994
     1.14141     2.27122  0.00103187
     1.16706     2.03333 0.000991861
     1.19271     1.79712 0.000909286
     1.21836     1.58578 0.000839223
     1.24401     1.40156 0.000762526
     1.26966     1.23537 0.000718949
     1.29531     1.10537 0.000657134
     1.32096    0.993191 0.000608587
     1.34661    0.912594 0.000584118
     1.37226    0.846998 0.000535727
     1.39791    0.789024 0.000516847
     1.42355    0.740563 0.000493502
      1.4492    0.708662 0.000472445
     1.47485    0.678942 0.000459192
      1.5005    0.655015 0.000447001
     1.52615     0.64387 0.000424873
      1.5518    0.640615 0.000419591
     1.57745    0.641047 0.000407772
      1.6031    0.647312 0.000413982
     1.62875    0.660926 0.000412823
      1.6544    0.675014 0.000410512
     1.68005     0.69601 0.000401595
      1.7057    0.719841  0.00040458
     1.73135      0.7541 0.000413814
       1.757    0.792849 0.000419927
     1.78265    0.830548 0.000422488
      1.8083    0.872492 0.000436259
     1.83395    0.920674 0.000423875
      1.8596    0.964724 0.000432922
     1.88525     1.00563 0.000435356
      1.9109     1.04334 0.000440261
     1.93655      1.0858 0.000439338
      1.9622     1.12372 0.000438383
     1.98785     1.15464 0.000437991
      2.0135     1.18365 0.000441985
     2.03915     1.19916 0.000436577
      2.0648     1.21713 0.000441472
     2.09045     1.21952 0.000436948
      2.1161     1.21153 0.000428391
     2.14174     1.19803 0.000412025
     2.16739     1.18111 0.000416489
     2.19304     1.15468 0.000405933
     2.21869     1.12384 0.000397496
     2.24434     1.09208 0.000389388
     2.26999     1.05903 0.000378508
     2.29564     1.03003 0.000366392
     2.32129     1.00158 0.000354846
     2.34694     0.97299 0.000343475
     2.37259    0.951516  0.00034178
     2.39824     0.92964 0.000336971
     2.42389    0.908703 0.000332721
     2.44954    0.894845 0.000325883
     2.47519     0.88268 0.000314288
     2.50084    0.874263  0.00031261
     2.52649    0.874752  0.00030788
     2.55214    0.874633 0.000307416
