# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 1.79402e-05  6.3305e-06
    0.884913  0.00123854 6.18679e-05
    0.910562   0.0237685 0.000193322
    0.936212    0.161194 0.000755449
    0.961861    0.549888  0.00124503
    0.987511     1.17062  0.00243967
     1.01316     1.81668  0.00271809
     1.03881      2.2806  0.00254169
     1.06446     2.49371  0.00256146
     1.09011     2.48813  0.00227557
     1.11576     2.35165  0.00227262
     1.14141     2.14971  0.00213019
     1.16706     1.92963  0.00200429
     1.19271     1.71594  0.00194347
     1.21836     1.52871  0.00223372
     1.24401     1.36304  0.00203928
     1.26966     1.22107    0.001639
     1.29531     1.10307  0.00198303
     1.32096     1.00235  0.00134584
     1.34661    0.924137  0.00142378
     1.37226     0.85745  0.00106505
     1.39791    0.803561 0.000793347
     1.42355    0.760208 0.000919315
      1.4492    0.726087  0.00106518
     1.47485    0.699195  0.00112592
      1.5005    0.681472  0.00154017
     1.52615    0.667076  0.00108483
      1.5518    0.660126  0.00107065
     1.57745     0.66021 0.000988937
      1.6031    0.664448  0.00116683
     1.62875    0.673186  0.00102908
      1.6544    0.689987  0.00097348
     1.68005    0.710518 0.000974015
      1.7057    0.737786   0.0010026
     1.73135    0.767588 0.000766931
       1.757    0.802617  0.00100129
     1.78265    0.840572  0.00102181
      1.8083    0.881606 0.000898806
     1.83395    0.924302  0.00104423
      1.8596    0.964945  0.00087822
     1.88525     1.00548  0.00107631
      1.9109      1.0448  0.00121531
     1.93655      1.0836  0.00100076
      1.9622     1.11678   0.0011234
     1.98785     1.14654 0.000883562
      2.0135     1.17088  0.00103515
     2.03915     1.18895   0.0010974
      2.0648     1.19761  0.00103327
     2.09045     1.19953  0.00063283
      2.1161     1.19279 0.000867316
     2.14174     1.18066  0.00103523
     2.16739     1.16196 0.000754679
     2.19304     1.13744 0.000816509
     2.21869     1.11089 0.000917194
     2.24434     1.08443  0.00109252
     2.26999     1.05505 0.000927812
     2.29564     1.02741  0.00104737
     2.32129     1.00198 0.000901225
     2.34694    0.977523 0.000862522
     2.37259    0.956932 0.000893178
     2.39824    0.937524 0.000748479
     2.42389    0.920551 0.000770076
     2.44954    0.907643  0.00081624
     2.47519     0.89881 0.000664777
     2.50084    0.886277 0.000671603
     2.52649    0.876053 0.000612899
     2.55214    0.876187 0.000567585
