# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 8.49799e-06 8.28281e-06
    0.884913 0.000149695 3.15886e-05
    0.910562  0.00744698 0.000408882
    0.936212   0.0808857  0.00109383
    0.961861    0.380268  0.00283226
    0.987511    0.969859  0.00318773
     1.01316     1.68176  0.00544079
     1.03881     2.27187  0.00653639
     1.06446      2.5756  0.00579546
     1.09011     2.62388  0.00557909
     1.11576     2.48681  0.00546471
     1.14141     2.27122  0.00680415
     1.16706     2.03333  0.00684842
     1.19271     1.79712  0.00691824
     1.21836     1.58578  0.00671483
     1.24401     1.40156  0.00686107
     1.26966     1.23537  0.00488602
     1.29531     1.10537  0.00546803
     1.32096    0.993191  0.00407197
     1.34661    0.912594  0.00410297
     1.37226    0.846998  0.00329932
     1.39791    0.789024  0.00375359
     1.42355    0.740563  0.00275441
      1.4492    0.708662  0.00285895
     1.47485    0.678942  0.00254356
      1.5005    0.655015  0.00336116
     1.52615     0.64387  0.00272351
      1.5518    0.640615  0.00360761
     1.57745    0.641047  0.00312592
      1.6031    0.647312  0.00358282
     1.62875    0.660926  0.00382629
      1.6544    0.675014  0.00296361
     1.68005     0.69601  0.00269868
      1.7057    0.719841  0.00277798
     1.73135      0.7541   0.0038327
       1.757    0.792849  0.00429158
     1.78265    0.830548  0.00374388
      1.8083    0.872492  0.00383667
     1.83395    0.920674  0.00315099
      1.8596    0.964724  0.00274261
     1.88525     1.00563  0.00336216
      1.9109     1.04334  0.00323326
     1.93655      1.0858  0.00291036
      1.9622     1.12372  0.00276297
     1.98785     1.15464   0.0028907
      2.0135     1.18365  0.00348803
     2.03915     1.19916  0.00328838
      2.0648     1.21713  0.00323351
     2.09045     1.21952  0.00271144
      2.1161     1.21153  0.00279413
     2.14174     1.19803  0.00230524
     2.16739     1.18111  0.00314238
     2.19304     1.15468  0.00343501
     2.21869     1.12384   0.0042745
     2.24434     1.09208  0.00306306
     2.26999     1.05903  0.00299586
     2.29564     1.03003   0.0024755
     2.32129     1.00158  0.00248153
     2.34694     0.97299  0.00245504
     2.37259    0.951516  0.00251984
     2.39824     0.92964  0.00373055
     2.42389    0.908703  0.00221045
     2.44954    0.894845  0.00214159
     2.47519     0.88268  0.00248865
     2.50084    0.874263  0.00238751
     2.52649    0.874752  0.00226985
     2.55214    0.874633  0.00199919
