#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.45151    -5.45151           0
           2    -5.47821    -5.46486  0.00944082
           3    -5.47292    -5.46755  0.00666526
           4    -5.46535      -5.467  0.00502149
           5    -5.46699      -5.467  0.00401719
           6    -5.45667    -5.46528  0.00369792
           7    -5.47552    -5.46674  0.00344717
           8     -5.4501    -5.46466  0.00358941
           9    -5.47521    -5.46583  0.00337648
          10     -5.4635     -5.4656  0.00304688
          11    -5.45489    -5.46463  0.00292118
          12    -5.46565    -5.46471    0.002679
          13    -5.45873    -5.46425  0.00251215
          14    -5.46698    -5.46445  0.00234027
          15    -5.46149    -5.46425  0.00219255
          16     -5.4651     -5.4643  0.00205617
          17    -5.46503    -5.46434  0.00193566
          18    -5.46263    -5.46425  0.00183047
          19    -5.45911    -5.46398  0.00175403
          20    -5.46014    -5.46379   0.0016768
