#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.62063    -5.62063           0
           2     -5.6205    -5.62056 4.60586e-05
           3    -5.63103    -5.62405   0.0028496
           4    -5.63611    -5.62706  0.00337353
           5    -5.63009    -5.62767  0.00275254
           6    -5.63973    -5.62968  0.00293713
           7      -5.633    -5.63015  0.00255546
           8    -5.63827    -5.63117  0.00242906
           9    -5.63399    -5.63148   0.0021793
          10    -5.60843    -5.62918  0.00293746
          11     -5.6304    -5.62929  0.00267253
          12    -5.62755    -5.62914  0.00245375
          13    -5.63504     -5.6296  0.00230658
          14    -5.64488    -5.63069  0.00238615
          15    -5.64506    -5.63165  0.00241182
          16    -5.62969    -5.63152  0.00226417
          17    -5.62803    -5.63132  0.00214027
          18    -5.63545    -5.63155  0.00203365
          19    -5.61935    -5.63091  0.00202546
          20    -5.62586    -5.63065  0.00193986
