#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
            1     0.576751     0.576751            0
            2     0.465172     0.520962    0.0394489
            3     0.463883     0.501936    0.0305447
            4     0.504575     0.502595    0.0229157
            5     0.508652     0.503807    0.0183645
            6     0.563733     0.513795    0.0178139
            7     0.461072     0.506263     0.016786
            8     0.604042     0.518485     0.018613
            9       0.4686     0.512942    0.0173506
           10     0.522409     0.513889    0.0156413
           11     0.574362     0.519387    0.0151548
           12     0.499997     0.517771    0.0139777
           13     0.564636     0.521376    0.0133593
           14     0.519087     0.521212    0.0124061
           15     0.528103     0.521672    0.0115875
           16     0.482184     0.519204     0.011123
           17      0.51338     0.518861     0.010474
           18     0.492947     0.517421   0.00999057
           19     0.530104     0.518089   0.00948702
           20     0.539219     0.519145    0.0090713
