#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
            1     0.488833     0.488833            0
            2     0.550143     0.519488    0.0216764
            3     0.506052      0.51501    0.0149064
            4     0.477291      0.50558    0.0138448
            5     0.500029      0.50447    0.0111202
            6     0.419452       0.4903    0.0159119
            7     0.504878     0.492383    0.0137744
            8     0.470397     0.489635    0.0123237
            9     0.500789     0.490874    0.0110165
           10     0.573528     0.499139    0.0126408
           11     0.482811     0.497655    0.0115784
           12     0.431486     0.492141    0.0118541
           13     0.441592     0.488253    0.0115624
           14     0.429218     0.484036    0.0114797
           15     0.419676     0.479745    0.0114883
           16     0.505054     0.481327    0.0108786
           17     0.473031     0.480839    0.0102496
           18      0.46359     0.479881   0.00972491
           19     0.530265     0.482532    0.0095678
           20     0.462117     0.481512   0.00914369
